rank,song,artist,R1,R2,R3,RT
1,Euphoria,PsychoYP,1,1,2,1.3333333333333333
2,No Fugazy,Sarkodie,2,2,3,2.3333333333333335
3,Crown Of Clay (feat. Pheelz),Vector,3,3,6,4.0
4,No Fear (feat. Vic Mensa & Moliy),M.anifest,4,4,4,4.0
5,KOLO (feat. Oxlade),Ice Prince,5,5,7,5.666666666666667
6,Balance (feat. Joey B & Nshonamuzik),Pappy Kojo featuring Joey B and Nshonamuzik,6,6,8,6.666666666666667
7,Every Weekend,DJ Tunez & J. Anthoni,7,7,10,8.0
8,Guala (feat. Maison 2500 & New World Ray),Teezee,8,8,11,9.0
9,I Be (feat. Manu Crooks),Pappy Kojo featuring Manu Crooks,9,9,12,10.0
10,Fire In The Ghetto (feat. Troublle),Kwesta featuring Troublle,10,10,13,11.0
11,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",11,11,14,12.0
12,Monster,Vnero feat. Tonez,12,12,15,13.0
13,Rappers (feat. Dremo),Dreylo feat. Dremo,13,13,16,14.0
14,Uomo (feat. Sarkodie & KiddBlack),Pappy Kojo featuring Sarkodie and KiddBlack,14,14,17,15.0
15,Odeshi,Kwvdwo Pvnch,15,15,18,16.0
16,"Loose Guard (I See, I Saw)",Legendary Styles & Falz,16,16,19,17.0
17,Squander (feat. Niniola),Falz,17,17,20,18.0
18,Toxic (feat. Adekunle Gold),Reminisce,18,18,21,19.0
19,Attention (feat. Oxlade & Merr,ynn) - PsychoYP,19,19,22,20.0
20,African Knockout,AFRICAN KNOCKOUT x M.I Abaga,20,20,23,21.0
21,Oulalalah,Samba Peuzzi,21,21,24,22.0
22,Action Figure,Gemini Major and AKA,22,22,25,23.0
23,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC)",Jay Bahd,23,23,26,24.0
24,Could Have Been Worse,CDQ,24,24,27,25.0
25,Intense,"Blackway, Busta Rhymes",25,25,28,26.0
26,Roll Call,$pacely,26,26,29,27.0
27,Lekki Epe (feat. Vector),Maxino feat. Vector,27,27,30,28.0
28,Where You Dey,"Kokopee, Erigga",28,28,31,29.0
29,EVERYWHERE (feat. Buju),Straffitti featuring Buju,29,29,32,30.0
30,Don't Worry (feat. Emtee),Just G featuring Emtee,30,30,33,31.0
31,Flex and Ball (feat. Azanti & Lyta),PsychoYP,31,31,34,32.0
32,On The Streets (feat. Kwesi Arthur),Kweku Smoke featuring Kwesi Arthur,32,32,35,33.0
33,Three,Kweku Lee,33,33,36,34.0
34,"1 Sima (feat. Kojo Trip, The Township, Hyndu, Nemsis Loso & Yaw Lucaz)",Pappy Kojo,34,34,37,35.0
35,Bourdillon Love (feat. Three),Studio Magic x Fresh L,35,35,38,36.0
36,Drive By (Fivio Freestyle),So$aVelli,36,36,39,37.0
37,Dawgi (feat. Sarkodie),Amerado,37,37,40,38.0
38,Go Down,Bucky Raw,38,38,41,39.0
39,Molade (feat. Dwillsharmony & Ycee),Beatsbykarma,39,39,42,40.0
40,We Move (Freestyle),Stonebwoy,40,40,43,41.0
41,Like Dat (feat. PsychoYP),Skillz 8Figure,41,41,44,42.0
42,Use to this,Marvy feat. Psycho YP,42,42,45,43.0
43,TikTok Girl (feat. Kofi Mole),Kwasi Yesu,43,43,46,44.0
44,Justice,KayMad,44,44,47,45.0
45,All I Need,Yung6ix,45,45,48,46.0
46,1. Confusion,M.anifest,46,46,49,47.0
47,Heartbreaker (feat. Nasty C),Blaqbonez,47,47,50,48.0
48,"Zombie (feat. PsychoYP, Laycon & ",) - Blaqbonez,48,48,51,49.0
49,Run The Cheque,D-Truce,49,49,52,50.0
50,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie",50,50,53,51.0
51,Snakes In The Crib (feat. Tshego AMG),Kwesta featuring Tshego AMG,51,51,54,52.0
52,Foreign (feat. Trigga the 24),ameen,52,52,55,53.0
53,Text My Ex (feat. Bryan The Mensah),D-Truce,53,53,56,54.0
54,BROWN (feat. Una Rams),King Lutendo featuring Una Rams,54,54,57,55.0
55,"Ghost (feat. Miles Caliph, Kadens & Tobii WTW)",Stringz Beatz,55,55,58,56.0
56,CHANGE,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones",56,56,59,57.0
57,THOHO KHULU PART 3,King Lutendo,57,57,60,58.0
58,HEATHROW,Droxx & Mo'gunz,58,58,61,59.0
59,waterbody,mwami,59,59,62,60.0
60,Mehia Sika (feat. Dead Peepol),ZACK GH,60,60,63,61.0
61,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,61,61,64,62.0
62,Cassette (feat. King Promise),Nanky,62,62,65,63.0
63,4 You,Yung D3mz,63,63,66,64.0
64,Goboyi (feat. Oladips & Tcash_omowest),"Odumodublvck, Reeplay",64,64,67,65.0
65,Check Yourself,Kaptain,65,65,68,66.0
66,OPS,KashCPT,66,66,69,67.0
67,On the Move (feat. Dead Peepol),RichMiller,67,67,70,68.0
68,Omo X 100 (feat. Olamide),Reminisce,68,68,71,69.0
69,Sinner (feat. Kwaku DMC & LP2Loose),"Smallgod, Headie One, O'Kenneth",69,69,72,70.0
70,My Crew (feat. Lil5ive),Kiiwii,70,70,73,71.0
71,Rise Of The Underdogs 2 (feat. Tomi Thomas),Show Dem Camp featuring Tomi Thomas,71,71,74,72.0
72,First Sermon,Black Sherif,72,72,75,73.0
73,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd,73,73,76,74.0
74,KSM,Naza,74,74,77,75.0
75,Wreckless Tactics,TRiPPY TRiPPY,75,75,78,76.0
76,All The Above,Show Dem Camp,201,77,1,93.0
77,Dorime (feat. Musette & Vector),Samklef,201,76,79,118.66666666666667
78,Align (feat. LadiPoe),Show Dem Camp featuring LadiPoe,201,201,5,135.66666666666666
79,Tycoon (feat. Reminisce & Mojo),Show Dem Camp featuring Reminisce and Mojo,201,201,9,137.0
