,artist,song
0,Dave,System ft. WizKid
1,Mrolaide ,Feel
2,Kaptain,Check Yourself
3,PlaTBoss,Matriculation (Intro)
4,PlaTBoss,Hustler's Tale
5,Naira Marley,Koleyewon
6,PlaTBoss,Politics and Lies
7,Jae5,Dimension ft. Skepta & Rema
8,Sarkodie,Jaara feat. Medikal
9,PlaTBoss,Trust Issues
10,Nasty C,Jack
11,PlaTBoss,Tomorrow Never Comes
12,Vector,Early Momo ft. Good Girl LA
13,PlaTBoss,Balling
14,Phyno,For the Money ft. Peruzzi
15,Erigga,Many Nites
16,PlaTBoss,Living It Up
17,Dave,Lazarus ft. Boj
18,PlaTBoss,Indifferent
19,Vector,"Crown Of Clay (Remix) ft. Dip Doundou Guiss, Khaligraph Jones & Ashs The Best"
20,Lojay,Monalisa ft. Sarz
21,PlaTBoss,Graduation
22,Black Sherif,Second Sermon
23,Roddy Ricch,Late At Night
24,Erigga,Dick Appointment
25,M.I Abaga,All My Life (feat. Oxlade)
26,Sarkodie,Coachella ft. Kwesi Arthur
27,Lojay,Tonongo ft. Sarz
28,Dave,Clash ft. Stormzy
29,Show Dem Camp,Align ft. LadiPoe
30,Show Dem Camp,Tycoon ft. Reminisce & Mojo
31,Erigga,Wahala Dey
32,Pop Smoke,Tell The Vision ft. Kanye West & Pusha T
33,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
34,Sarkodie,Vibration ft. Vic Mensa
35,Pop Smoke,Dior
36,Pop Smoke,Bout A Million ft. 21 Savage & 42 Dugg
37,eLDee,"Big Boy ft. Olu Maintain, Oladele & Banky W"
38,Juice WRLD,Stay High
39,Dremo,Ego ft. Jeriq
40,Erigga,I No Wear Pant
41,Juice WRLD,Wishing Well
42,Kaptain,Problem
43,Dremo,East To West ft. Jeriq
44,Dagrin,Pon Pon Pon
45,Show Dem Camp,Vipers ft. Jesse Jagz & Tomi Thomas
46,LiL Baby,Voice of the Heroes ft. Lil Durk
47,Sarkodie,Intro
48,Pop Smoke,Mood Swings ft. Lil Tjay
49,Sarkodie,Married To The Game feat. Cassper Nyovest
