position,album
1,Uy Scuti
2,Somewhere Between Beauty & Magic
3,Carpe Diem
4,PANDEMIC
5,Twice As Tall
6,What Have We Done
7,APOLLO
8,Made In Lagos
9,WONDALAND
10,Boo of the Booless
11,Man Of Galilee
12,A Better Time
13,Too Faithful
14,Alagbe
15,Get Layd
16,Before the Chaos
17,A True Champion
18,"Laughter, Tears & Goosebumps"
19,Twelve A.M
20,SATISFIED
21,Love or the Word (EP)
22,Hallelujah Again (Revelation 19:3)
23,The Harvest
24,The Gospel of the Kingdom
25,Three
26,African Giant
27,Yes And Amen
28,Justice
29,King Of Love
30,Ecstasy
31,The King Is Coming
32,Man Of Galilee (Live)
33,KAIROS
34,Masta Groove
35,The Voice of the Heroes
36,Born Of God
37,High Tension
38,Superstar
39,Ea$t N We$t
40,LV N ATTN
41,Simisola
42,Fuji The Sound
43,Omo Charlie Champagne Vol1
44,You Have Done Me Well
45,The Prodigal
46,Love & Light (EP)
47,Barry Back (The EP)
48,The Erigma II
49,Legends Never Die
50,LOL (Lord Of Lamba) EP
51,Sex Over Love
52,Mafia Culture (Vol. 2.0)
53,The Life And Times Of 50th Birthday Edition
54,Ayo (Joy)
55,...Shall We Begin...
56,Flavour of Africa
57,Next Level
58,A Good Time
59,Hall of Fame
60,Kingdom Now
61,Please Excuse Me for Being Antisocial
62,Cultural Praise
63,Shoot For The Stars Aim For The Moon
64,Deal With It
65,Chris Tomlin & Friends: Summer EP
66,Outside
67,The Cross: My Gaze
68,The Classics
69,You Are Great
70,\xc3\x8cR\xc3\x8c (The Album Live) (Live)
71,This God Is Too Good
72,Something Else (EP)
73,In The Dark
74,TOO LATE TOO LIT (EP)
75,Gratitude
76,No Bad Songz
77,Kapacity
78,Country Moods
79,!
80,Grass 2 Grace
81,The Spirit Of Light
82,Death Race For Love
83,Culture III
84,Chiomalized
85,The Banquet + Playlist
86,Hymnal (Volume 1)
87,KHALED KHALED
88,Coast To Coast (Expanded Edition)
89,The Playmaker
90,Warriors
91,Rum & Boogie
92,Hakuna Matata
93,Meet The Woo
94,Faith Is Rising
95,Not Ordinary
96,Meet The Woo 2 (Deluxe)
97,Energy
98,Once in a Lifetime (Live)
99,The Off-Season
100,Street OT
