rank,album,artist,Previous week,weeks on chart
1,Made In Lagos,Wizkid,2,4
2,UY Scuti,Olamide,1,3
3,Twice As Tall,Burna Boy,4,4
4,Somewhere Between Beauty & Magic,Joeboy,3,4
5,LV N ATTN,EP - Lojay & Sarz,7,4
6,Sex Over Love,Blaqbonez,5,4
7,APOLLO,Fireboy DML,9,4
8,WONDALAND,Teni,6,4
9,High Tension,Bella Shmurda,0,1
10,Boo of the Booless,Chike,8,4
11,"Laughter, Tears & Goosebumps",Fireboy DML,15,4
12,A Better Time,Davido,10,4
13,Man Of Galilee,Judikay,13,4
14,A True Champion,Rexxie,0,1
15,...Shall We Begin...,Laycon,28,4
16,Cultural Praise,KCee & Okwesili Eze Group,16,4
17,Get Layd,EP - Omah Lay,22,4
18,Superstar,Wizkid,11,4
19,Rum & Boogie,Peruzzi,19,4
20,Please Excuse Me for Being Antisocial,Roddy Ricch,14,4
21,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,24,4
22,SoulFly,Rod Wave,21,4
23,Boyfriend,CKay,33,4
24,For Broken Ears,Tems,23,4
25,THE GOAT,Polo G,20,4
26,ROOTS,The Cavemen.,0,1
27,Wild West,Central Cee,25,4
28,Carpe Diem,Olamide,18,4
29,Outside,Burna Boy,60,4
30,What Have We Done,EP - Omah Lay,44,4
31,Afro Pop Vol. 1,Adekunle Gold,0,1
32,Off the Yak,Young M.A,43,4
33,The Palmwine Express,Show Dem Camp,40,4
34,OXYGENE,EP - Oxlade,29,4
35,A Good Time,Davido,27,4
36,Yabasi,Basketmouth,30,4
37,Simisola (Deluxe),Simi,0,1
38,I LOVE GIRLS WITH TROBUL,Sarz & WurlD,73,4
39,King Of Love,Kizz Daniel,0,1
40,The Golden Boy,KiDi,50,2
41,Light,MohBad,0,1
42,PANDEMIC,EP - Ruger,17,4
43,The Voice of the Heroes,Lil Baby & Lil Durk,47,4
44,Hall of Fame,Polo G,46,4
45,Justice,Justin Bieber,48,4
46,Culture III,Migos,45,3
47,Hot Pink,Doja Cat,75,2
48,Welcome to O'Block,King Von,57,2
49,CITIZEN OF THE WORLD,King Perryy,35,4
50,SoundGod Fest Reloaded,Runtown,99,4
51,So Much Fun,Young Thug,0,1
52,KHALED KHALED,DJ Khaled,56,4
53,SATISFIED,Mercy Chinwo,54,4
54,African Giant,Burna Boy,52,4
55,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,69,4
56,T R A P S O U L (Deluxe),Bryson Tiller,0,1
57,Masta Groove,Masterkraft,0,1
58,Legends Never Die,Juice WRLD,53,4
59,Too Late Too Lit,KDDO,0,1
60,Death Race For Love,Juice WRLD,55,4
61,Before the Chaos,P - Erigga,0,1
62,In The Dark,Mizzle,0,1
63,Planet Her,Doja Cat,0,1
64,CALL ME IF YOU GET LOST,"Tyler, The Creator",0,1
65,Gratitude,Timaya,26,4
66,Old Church Basement,Elevation Worship & Maverick City Music,71,4
67,Haitian Boy Kodak,Kodak Black,31,4
68,Back of My Mind,H.E.R.,63,2
69,Heaven Or Hell,Don Toliver,66,2
70,High Off Life,Future,42,4
71,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",39,2
72,Big Conspiracy,J Hus,70,4
73,The Gospel of the Kingdom,Dunsin Oyekan,79,4
74,Jubilee: Juneteenth Edition,Maverick City Music,51,2
75,SOUR,Olivia Rodrigo,82,4
76,The Message,Minister GUC,84,4
77,JORDI (Deluxe),Maroon 5,49,3
78,Meet The Woo 2 (Deluxe),Pop Smoke,0,1
79,Hallelujah Again (Revelation 19:3),Nathaniel Bassey,0,1
80,The Cross: My Gaze,Mercy Chinwo,0,1
81,Hollywood's Bleeding,Post Malone,74,4
82,Rema Compilation,Rema,0,1
83,My Turn (Deluxe),Lil Baby,94,2
84,Happy Birthday Kodak,EP - Kodak Black,37,3
85,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD,64,4
86,Three,Patoranking,0,1
87,I'll Say It For You,Dax,86,2
88,SAVAGE MODE II,21 Savage & Metro Boomin,38,4
89,Zulu Man With Some Power,Nasty C,91,4
90,The Voice (Deluxe),Lil Durk,0,1
91,Top,YoungBoy Never Broke Again,41,4
92,Product of My Environment,Abra Cadabra,88,4
93,Something Else,Mr Eazi,0,1
94,Beautiful Thugger Girls,Young Thug,0,1
95,Ghetto Lenny's Love Songs,SAINt JHN,0,1
96,Life of Betrayal 2x,Yungeen Ace,0,1
97,After Hours,The Weeknd,0,1
98,The Human Condition,Jon Bellion,97,4
99,When The Lights Go Off,EP - Layzee Ella,0,1
100,Scam,EP - G4 Boyz,0,1
