rank,song,artist,Previous week,weeks on chart
1,Jack,Nasty C,4,3
2,Coachella (feat. Kwesi Arthur),"Sarkodie, Kwesi Arthur",5,4
3,Heartbreaker (feat. Nasty C),Blaqbonez,7,4
4,Omo X 100 ft. Olamide,Reminisce,1,4
5,Tycoon,Show Dem Camp,0,1
6,Euphoria,PsychoYP,9,4
7,Crown Of Clay (feat. Pheelz),Vector,12,4
8,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",17,4
9,First Sermon,Black Sherif,19,4
10,Breathe (feat. Chike),A-Q,3,4
11,Rise Of The Underdogs 2 ft. Tomi Thomas,Show Dem Camp featuring Tomi Thomas,2,4
12,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,22,4
13,Vibration,"Sarkodie, VIC MENSA",0,1
14,Feeling,"LADIPOE, Buju",0,1
15,Align ft. LadiPoe,Show Dem Camp,0,1
16,Early Momo (feat. Good Girl La),Vector,6,2
17,All My Life (feat. Oxlade),M.I Abaga,11,4
18,Best I Ever Had,Nasty C,0,1
19,KOLO (feat. Oxlade),Ice Prince,14,3
20,My Crew (feat. Lil5ive),Kiiwii,16,4
21,Sinner,"Smallgod, Headie One, O'Kenneth",0,1
22,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,18,3
23,Check Yourself,Kaptain,10,2
24,Question For The Gods,M3NSA,0,1
25,Midf (Money I Dey Find),Ycee,0,1
26,TBDK (feat. Sinzu & Erigga),M.I Abaga,0,1
27,Black And White,Nasty C,0,1
28,Rappers (feat. Dremo),Dreylo feat. Dremo,13,2
29,East To West ft. Jeriq,Dremo,36,2
30,No Fear (feat. Moliy),M.anifest,15,2
31,Hmm,G4 Boyz,0,1
32,THE 5 YEAR PLAN,A-Reece,0,1
33,Decisions,Jay Bahd,0,1
34,Ye x4,Blxckie,0,1
35,Deep In Da Streets,TNT Kenya,0,1
36,Wavy (feat. Sarkodie),Khaligraph Jones,0,1
37,Vipers ft. Jesse Jagz & Tomi Thomas,Show Dem Camp,0,1
38,"Loose Guard (I See, I Saw) (Remix)",Legendary Styles & Falz,0,1
39,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",20,2
40,DKM (Ma Pa Mi),Loti,0,1
41,K:HOVA,K.O,0,1
42,I Want,Chris Kaiga,0,1
43,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,8,2
44,RBG,Elzo Jamdong,0,1
45,Ama,Medikal,0,1
46,Nikwa Ni Shoke,Khaligraph Jones,0,1
47,Long Way,Emtee,0,1
48,W.A.G (feat. Sarkodie & Youssoupha),Rouge,0,1
49,Happy Day,Sarkodie,0,1
50,Feel,Mrolaide ,23,2
