rank,song,artist,Previous week,weeks on chart
1,Naira Marley,Zinoleesky,1,4
2,Korope,Lil Kesh and  Naira Marley,2,4
3,Party Next Door,Dangbana Republik and  Bella Shmurda,23,6
4,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,3,6
5,KPK (Ko Por Ke) (Official Music Video),Rexxie,5,6
6,Coming,Naira Marley and  Busiswa,4,6
7,Koleyewon,Naira Marley,6,6
8,Cho Cho (feat. Davido & Mayorkun),Zlatan,7,3
9,Available (feat. Mohbad),C Blvck,8,2
10,"Baba Fela Remix (Official Video) ft. Zlatan, Laycon - Mr Real",Mr. Real,9,6
11,Mandeman (Remix) (feat. Davido),Small Doctor,10,6
12,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",11,6
13,Prayer,Lexzydreamz,-,1
14,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,12,2
15,If No Be You (feat. Mayorkun),Jamopyper,13,4
16,Professor Peller (feat. Zlatan),Seyi Vibez,-,1
17,Cut Soap,DJ Xclusive and  Rulerboy,14,6
18,Jafafa,Chinko Ekun and  MohBad,15,4
19,Champion,Dangbana Republik and  Bella Shmurda,16,2
20,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,-,1
21,Energy,SunkkeySnoop,-,1
22,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,17,3
23,Hello xe1xbaxb8,Reminisce and  WestSyde,19,6
24,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,21,3
25,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,22,6
26,Problem (feat. Idowest),Stackz,24,2
27,Rush,Dangbana Republik and  Bella Shmurda,25,3
28,No Retire,Jaivah,26,6
29,Troway (feat. Zlatan),Whalez,27,6
30,Gbowo,Nikita,28,6
31,Tekiller,CDQ,29,6
32,About Money,SunkkeySnoop,30,6
33,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,31,6
34,High Way,DJ Kaywise and  Phyno,32,6
35,Egbon,Masterkraft and  Phyno,33,6
36,Mr Money,Asake,34,6
37,Focus Vibe,Slimcase,35,6
38,Asampepe,Wale Turner and  Idowest,36,6
39,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",37,6
40,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",38,6
41,Aye Dun Gan,Oyibo Rebel,39,6
42,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,40,6
43,Sugar Daddy,DJ Enimoney and  Olamide,41,6
44,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,42,6
45,World,Dangbana Republik and  Bella Shmurda,43,6
46,Hallelujah,Oladips and  Zlatan,44,6
47,Kabaa (feat. Mayorkun),Idowest,45,6
48,Barawo (feat. Davido) [Remix],Ajebo Hustlers,46,6
49,Tesina Pot,Jaido P and  Olamide,47,6
50,Wagwan,Laycon,48,6
